Tier_1_Firms,Tier_2_Firms,Tier_3_Firms,Tier_4_Firms,Total_R&D_Investment,Total_Revenue,Active_Tier3_Projects,Active_Tier4_Projects,Market_Concentration_HHI,Knowledge_Network_Density,Average_Firm_Capital,Successful_Tier3_Innovations,Failed_Tier3_Projects,Innovation_Cliff_Indicator,Active_Policies,Government_Budget_Spent,Policy_Effectiveness_Score,Global_Efficiency_Factor,Current_Year,run_id,experiment,step,policy_effectiveness
20,0,0,0,0.0,0.0,0,0,0.0,0.21052631578947367,342.207269938912,0,0,0.0,1,0.0,0.0,1.0,0.0,0,policy_advanced_purchase_commitment,0,
20,0,0,0,0.01625249256236147,0.0,0,0,0.0,0.21052631578947367,342.20645731428385,0,0,0.0,1,0.0,0.0,0.9375,0.25,0,policy_advanced_purchase_commitment,1,
20,0,0,0,0.01625249256236147,0.0,0,0,0.0,0.21052631578947367,342.20645731428385,0,0,0.0,1,0.0,0.0,0.87890625,0.5,0,policy_advanced_purchase_commitment,2,
20,0,0,0,0.01625249256236147,0.0,0,0,0.0,0.21578947368421053,342.20645731428385,0,0,0.0,1,0.0,0.0,0.823974609375,0.75,0,policy_advanced_purchase_commitment,3,
10,10,0,0,0.08868594589279478,3437.2044920745816,6,0,0.12048013351577655,0.21578947368421053,529.8974003300442,0,0,0.4,1,0.0,0.0,0.7724761962890625,1.0,0,policy_advanced_purchase_commitment,4,
10,10,0,0,0.08868594589279478,5202.886123856125,6,0,0.10991234597746447,0.21578947368421053,621.4954115182743,0,0,0.4,1,0.0,0.0,0.7241964340209961,1.25,0,policy_advanced_purchase_commitment,5,
10,10,0,0,0.08868594589279478,6968.567755637668,6,0,0.10715474913517065,0.21578947368421053,723.8233752090845,0,0,0.4,1,0.0,0.0,0.6789341568946838,1.5,0,policy_advanced_purchase_commitment,6,
3,17,0,0,0.12600137839965933,9447.68615094219,10,0,0.08759318606278452,0.21578947368421053,852.7247979505913,0,0,0.4117647058823529,1,0.0,0.0,0.6365007720887661,1.75,0,policy_advanced_purchase_commitment,7,
3,17,0,0,0.12600137839965933,11418.483378419845,10,0,0.07937939187814341,0.22105263157894736,956.6592104879876,0,0,0.4117647058823529,1,0.0,0.0,0.5967194738332182,2.0,0,policy_advanced_purchase_commitment,8,
3,17,0,0,0.12600137839965933,13389.280605897498,10,0,0.07454516718377731,0.22105263157894736,1056.8062323481288,0,0,0.4117647058823529,1,0.0,0.0,0.5594245067186421,2.25,0,policy_advanced_purchase_commitment,9,
1,19,0,0,0.13893348126459973,15462.51104112839,11,0,0.07006618007536364,0.22105263157894736,1171.889662186677,0,0,0.42105263157894735,1,0.0,0.0,0.524460475048727,2.5,0,policy_advanced_purchase_commitment,10,
1,19,0,0,0.13893348126459973,17434.514876716898,11,0,0.06713213694119304,0.22105263157894736,1281.9978734335295,0,0,0.42105263157894735,1,0.0,0.0,0.4916816953581815,2.75,0,policy_advanced_purchase_commitment,11,
1,19,0,0,0.13893348126459973,19406.518712305402,11,0,0.06503699747286806,0.22105263157894736,1389.053794712335,0,0,0.42105263157894735,1,0.0,0.0,0.46095158939829517,3.0,0,policy_advanced_purchase_commitment,12,
1,16,3,0,0.18032460639560333,28194.346801580064,9,0,0.08161919567055467,0.22105263157894736,1837.8485108075638,3,0,0.4375,1,0.0,0.0,0.4321421150609017,3.25,0,policy_advanced_purchase_commitment,13,
1,16,3,0,0.2060852462626802,35341.64836742643,13,0,0.09550414442317028,0.23157894736842105,2223.1664861818795,3,0,0.1875,1,0.0,0.0,0.40513323286959535,3.5,0,policy_advanced_purchase_commitment,14,
1,16,3,0,0.2060852462626802,42488.949933272794,13,0,0.1075451616765039,0.23684210526315788,2580.5315644741977,3,0,0.1875,1,0.0,0.0,0.37981240581524567,3.75,0,policy_advanced_purchase_commitment,15,
1,14,5,0,0.23433314597554047,51036.495488607914,12,0,0.10432330679628313,0.24210526315789474,3017.024244651914,5,0,0.1428571428571429,1,0.0,0.0,0.3560741304517928,4.0,0,policy_advanced_purchase_commitment,16,
1,14,5,0,0.23433314597554047,59214.24244567275,12,0,0.10376613266592234,0.24210526315789474,3432.6798652265206,5,0,0.1428571428571429,1,0.0,0.0,0.33381949729855576,4.25,0,policy_advanced_purchase_commitment,17,
1,14,5,0,0.23433314597554047,67391.98940273758,12,0,0.10425150832782966,0.24210526315789474,3858.633952597028,5,0,0.1428571428571429,1,0.0,0.0,0.312955778717396,4.5,0,policy_advanced_purchase_commitment,18,
0,15,5,0,0.2545703032781826,75667.15469379595,13,0,0.10487401916494293,0.24210526315789474,4284.364327321376,5,0,0.1333333333333333,1,0.0,0.0,0.29339604254755874,4.75,0,policy_advanced_purchase_commitment,19,
0,15,5,0,0.2545703032781826,83892.66001875926,13,0,0.10582379703393312,0.24210526315789474,4700.590305931002,5,0,0.1333333333333333,1,0.0,0.0,0.2750587898883363,5.0,0,policy_advanced_purchase_commitment,20,
0,15,5,0,0.2545703032781826,92118.16534372255,13,0,0.10684211917690262,0.24210526315789474,5113.6160451686455,5,0,0.1333333333333333,1,0.0,0.0,0.2578676155203153,5.25,0,policy_advanced_purchase_commitment,21,
