Tier_1_Firms,Tier_2_Firms,Tier_3_Firms,Tier_4_Firms,Total_R&D_Investment,Total_Revenue,Active_Tier3_Projects,Active_Tier4_Projects,Market_Concentration_HHI,Knowledge_Network_Density,Average_Firm_Capital,Successful_Tier3_Innovations,Failed_Tier3_Projects,Innovation_Cliff_Indicator,Active_Policies,Government_Budget_Spent,Policy_Effectiveness_Score,Global_Efficiency_Factor,Current_Year,run_id,experiment,step,policy_effectiveness
20,0,0,0,0.0,0.0,0,0,0.0,0.21052631578947367,342.207269938912,0,0,0.0,1,0.0,0.0,1.0,0.0,0,timing_advanced_purchase_commitment_year_6,0,0.0
20,0,0,0,1.1637296332697113e-24,0.0,0,0,0.0,0.21052631578947367,342.207269938912,0,0,0.0,1,0.0,0.0,0.9375,0.25,0,timing_advanced_purchase_commitment_year_6,1,0.0
20,0,0,0,1.1637296332697113e-24,0.0,0,0,0.0,0.21052631578947367,342.207269938912,0,0,0.0,1,0.0,0.0,0.87890625,0.5,0,timing_advanced_purchase_commitment_year_6,2,0.0
20,0,0,0,1.1637296332697113e-24,0.0,0,0,0.0,0.21578947368421053,342.207269938912,0,0,0.0,1,0.0,0.0,0.823974609375,0.75,0,timing_advanced_purchase_commitment_year_6,3,0.0
8,12,0,0,6.3453679436548296e-24,4203.635738019665,6,0,0.13459558545977465,0.21578947368421053,559.4024373297896,0,0,0.5,1,0.0,0.0,0.7724761962890625,1.0,0,timing_advanced_purchase_commitment_year_6,4,0.0
8,12,0,0,6.3453679436548296e-24,6008.720889613717,6,0,0.11250958253801312,0.21578947368421053,649.6566949094921,0,0,0.5,1,0.0,0.0,0.7241964340209961,1.25,0,timing_advanced_purchase_commitment_year_6,5,0.0
8,12,0,0,6.3453679436548296e-24,7813.80604120777,6,0,0.10356367529332897,0.21578947368421053,739.9109524891948,0,0,0.5,1,0.0,0.0,0.6789341568946838,1.5,0,timing_advanced_purchase_commitment_year_6,6,0.0
2,18,0,0,9.23690255859596e-24,10022.808100738152,10,0,0.08562393430044844,0.22105263157894736,859.9063069359693,0,0,0.4444444444444444,1,0.0,0.0,0.6365007720887661,1.75,0,timing_advanced_purchase_commitment_year_6,7,0.0
2,18,0,0,9.23690255859596e-24,11994.10185963681,10,0,0.07776835546326127,0.22105263157894736,968.5701534166498,0,0,0.4444444444444444,1,0.0,0.0,0.5967194738332182,2.0,0,timing_advanced_purchase_commitment_year_6,8,0.0
2,18,0,0,9.23690255859596e-24,13965.395618535471,10,0,0.07298172031748612,0.22105263157894736,1074.8981007707198,0,0,0.4444444444444444,1,0.0,0.0,0.5594245067186421,2.25,0,timing_advanced_purchase_commitment_year_6,9,0.0
0,20,0,0,1.025303268907215e-23,16025.423356317895,12,0,0.06826844396708398,0.22105263157894736,1183.8797132895565,0,0,0.4,1,0.0,0.0,0.524460475048727,2.5,0,timing_advanced_purchase_commitment_year_6,10,0.0
0,20,0,0,1.025303268907215e-23,18035.946978980443,12,0,0.06516008986242956,0.22105263157894736,1303.5573533849144,0,0,0.4,1,0.0,0.0,0.4916816953581815,2.75,0,timing_advanced_purchase_commitment_year_6,11,0.0
0,20,0,0,1.025303268907215e-23,20046.47060164299,12,0,0.06292805504218674,0.22105263157894736,1405.9963145153993,0,0,0.4,1,0.0,0.0,0.46095158939829517,3.0,0,timing_advanced_purchase_commitment_year_6,12,0.0
0,18,2,0,1.4171198951771003e-23,26037.864305621853,12,0,0.06538463414222286,0.22105263157894736,1707.5072322729807,2,0,0.33333333333333337,1,0.0,0.0,0.4321421150609017,3.25,0,timing_advanced_purchase_commitment_year_6,13,0.0
